,task,ns_seq_ind,rep,w1
0,coffee-button-v2,25000,0,0.9946956067589254
0,coffee-button-v2,25000,1,0.9940156380719901
0,coffee-button-v2,25000,2,0.9946281395519398
0,coffee-button-v2,25000,3,0.9948547122651753
0,coffee-button-v2,25000,4,0.9944967644581532
0,coffee-button-v2,25000,5,0.9960517088828371
0,coffee-button-v2,25000,6,0.9921646426915416
0,coffee-button-v2,25000,7,0.9951268555339478
0,coffee-button-v2,25000,8,0.9926002644842455
0,coffee-button-v2,25000,9,0.9951284009712316
0,coffee-button-v2,30000,0,1.2171086123654786
0,coffee-button-v2,30000,1,1.2129168359197506
0,coffee-button-v2,30000,2,1.218605993598721
0,coffee-button-v2,30000,3,1.2163347622796228
0,coffee-button-v2,30000,4,1.2165453426673256
0,coffee-button-v2,30000,5,1.2215022492553598
0,coffee-button-v2,30000,6,1.215568308071881
0,coffee-button-v2,30000,7,1.2168740316961948
0,coffee-button-v2,30000,8,1.218871429933112
0,coffee-button-v2,30000,9,1.216871504004066
0,coffee-button-v2,35000,0,1.3823519493640108
0,coffee-button-v2,35000,1,1.38148908046905
0,coffee-button-v2,35000,2,1.3819754942725806
0,coffee-button-v2,35000,3,1.3829992638475224
0,coffee-button-v2,35000,4,1.3807243966971607
0,coffee-button-v2,35000,5,1.3813243366880612
0,coffee-button-v2,35000,6,1.376178171838402
0,coffee-button-v2,35000,7,1.3797527184006528
0,coffee-button-v2,35000,8,1.3845517422932094
0,coffee-button-v2,35000,9,1.380019495055314
0,coffee-button-v2,40000,0,1.5696358670443744
0,coffee-button-v2,40000,1,1.5707365025529967
0,coffee-button-v2,40000,2,1.5752108524916744
0,coffee-button-v2,40000,3,1.5756908421963491
0,coffee-button-v2,40000,4,1.575796728549958
0,coffee-button-v2,40000,5,1.5778692726456034
0,coffee-button-v2,40000,6,1.5677567282235902
0,coffee-button-v2,40000,7,1.5744630754247444
0,coffee-button-v2,40000,8,1.577945035976926
0,coffee-button-v2,40000,9,1.5716467272910262
0,coffee-button-v2,45000,0,1.7700160928185498
0,coffee-button-v2,45000,1,1.7747692771224395
0,coffee-button-v2,45000,2,1.7760576479842378
0,coffee-button-v2,45000,3,1.7755985219095118
0,coffee-button-v2,45000,4,1.7782979008475481
0,coffee-button-v2,45000,5,1.7765818184374733
0,coffee-button-v2,45000,6,1.7667012415281085
0,coffee-button-v2,45000,7,1.7754564280184288
0,coffee-button-v2,45000,8,1.7760127706534965
0,coffee-button-v2,45000,9,1.7718889647917837
0,coffee-button-v2,50000,0,2.010127862121022
0,coffee-button-v2,50000,1,2.0126485038772888
0,coffee-button-v2,50000,2,2.0089875702589555
0,coffee-button-v2,50000,3,2.0115241115443583
0,coffee-button-v2,50000,4,2.007099313007068
0,coffee-button-v2,50000,5,2.007553533820722
0,coffee-button-v2,50000,6,2.006067881453034
0,coffee-button-v2,50000,7,2.0050705437653185
0,coffee-button-v2,50000,8,2.005208324629666
0,coffee-button-v2,50000,9,2.011110059555876
0,coffee-button-v2,55000,0,2.1723120031239134
0,coffee-button-v2,55000,1,2.171058743669951
0,coffee-button-v2,55000,2,2.1739832822541767
0,coffee-button-v2,55000,3,2.167075228893208
0,coffee-button-v2,55000,4,2.1701281766256506
0,coffee-button-v2,55000,5,2.175655587031846
0,coffee-button-v2,55000,6,2.171253842903977
0,coffee-button-v2,55000,7,2.176437832043141
0,coffee-button-v2,55000,8,2.169917951377032
0,coffee-button-v2,55000,9,2.174510502897781
0,coffee-button-v2,60000,0,2.403212544463988
0,coffee-button-v2,60000,1,2.4012349126488877
0,coffee-button-v2,60000,2,2.4101307344554814
0,coffee-button-v2,60000,3,2.401156648200374
0,coffee-button-v2,60000,4,2.4055434717694926
0,coffee-button-v2,60000,5,2.408265941782837
0,coffee-button-v2,60000,6,2.4075058732511
0,coffee-button-v2,60000,7,2.4048666548422717
0,coffee-button-v2,60000,8,2.4088411675582515
0,coffee-button-v2,60000,9,2.401973412506984
0,coffee-button-v2,65000,0,2.549132098466356
0,coffee-button-v2,65000,1,2.548053168877129
0,coffee-button-v2,65000,2,2.559436150236677
0,coffee-button-v2,65000,3,2.553839357581715
0,coffee-button-v2,65000,4,2.5508263528376194
0,coffee-button-v2,65000,5,2.5450258997113027
0,coffee-button-v2,65000,6,2.5478184349055355
0,coffee-button-v2,65000,7,2.546895177691598
0,coffee-button-v2,65000,8,2.5499265309202244
0,coffee-button-v2,65000,9,2.550724544934383
0,coffee-button-v2,70000,0,2.7261250380581297
0,coffee-button-v2,70000,1,2.72864557412916
0,coffee-button-v2,70000,2,2.7364782034688497
0,coffee-button-v2,70000,3,2.7329898020686443
0,coffee-button-v2,70000,4,2.7334615973665035
0,coffee-button-v2,70000,5,2.7338427866660266
0,coffee-button-v2,70000,6,2.7193858673180706
0,coffee-button-v2,70000,7,2.7294115963741414
0,coffee-button-v2,70000,8,2.7328912724152072
0,coffee-button-v2,70000,9,2.721208313828886
0,coffee-button-v2,75000,0,2.9263802500281124
0,coffee-button-v2,75000,1,2.931783561019019
0,coffee-button-v2,75000,2,2.935161242632758
0,coffee-button-v2,75000,3,2.9335622141955113
0,coffee-button-v2,75000,4,2.9356856596249687
0,coffee-button-v2,75000,5,2.9281006021453204
0,coffee-button-v2,75000,6,2.914853923141443
0,coffee-button-v2,75000,7,2.925834219886074
0,coffee-button-v2,75000,8,2.934162237221624
0,coffee-button-v2,75000,9,2.9239301641034556
0,coffee-button-v2,80000,0,3.168395979031521
0,coffee-button-v2,80000,1,3.1680479416600305
0,coffee-button-v2,80000,2,3.165916045801769
0,coffee-button-v2,80000,3,3.165881419110507
0,coffee-button-v2,80000,4,3.1591734360481274
0,coffee-button-v2,80000,5,3.159400941366253
0,coffee-button-v2,80000,6,3.167457272325593
0,coffee-button-v2,80000,7,3.160710197333215
0,coffee-button-v2,80000,8,3.162857411569531
0,coffee-button-v2,80000,9,3.162345950923918
0,coffee-button-v2,85000,0,3.3155346169733106
0,coffee-button-v2,85000,1,3.3088422852798445
0,coffee-button-v2,85000,2,3.324616249821056
0,coffee-button-v2,85000,3,3.311456309364234
0,coffee-button-v2,85000,4,3.309215759286019
0,coffee-button-v2,85000,5,3.328062567342492
0,coffee-button-v2,85000,6,3.321161839351938
0,coffee-button-v2,85000,7,3.3176421620056966
0,coffee-button-v2,85000,8,3.316864245075499
0,coffee-button-v2,85000,9,3.3240356008222878
0,coffee-button-v2,90000,0,3.54104372018463
0,coffee-button-v2,90000,1,3.5330648071666517
0,coffee-button-v2,90000,2,3.5423791716618718
0,coffee-button-v2,90000,3,3.527863807340428
0,coffee-button-v2,90000,4,3.530906730982535
0,coffee-button-v2,90000,5,3.5335473728263294
0,coffee-button-v2,90000,6,3.5387706571954607
0,coffee-button-v2,90000,7,3.5317374047736645
0,coffee-button-v2,90000,8,3.54016163442949
0,coffee-button-v2,90000,9,3.5301389592628594
0,coffee-button-v2,95000,0,3.663816357395906
0,coffee-button-v2,95000,1,3.6602031105841863
0,coffee-button-v2,95000,2,3.666893303780603
0,coffee-button-v2,95000,3,3.6671539378391778
0,coffee-button-v2,95000,4,3.6721433038420783
0,coffee-button-v2,95000,5,3.6556545336971356
0,coffee-button-v2,95000,6,3.6528544237854597
0,coffee-button-v2,95000,7,3.658845134069868
0,coffee-button-v2,95000,8,3.6649239922050567
0,coffee-button-v2,95000,9,3.655396814853521
0,coffee-button-v2,100000,0,3.8457648192978575
0,coffee-button-v2,100000,1,3.8495515398970843
0,coffee-button-v2,100000,2,3.8587643805994096
0,coffee-button-v2,100000,3,3.8547591868601963
0,coffee-button-v2,100000,4,3.851147798420784
0,coffee-button-v2,100000,5,3.8536972855619087
0,coffee-button-v2,100000,6,3.848868236481973
0,coffee-button-v2,100000,7,3.844506420739425
0,coffee-button-v2,100000,8,3.8578765068843985
0,coffee-button-v2,100000,9,3.833329049782412
0,dial-turn-v2,0,0,0.10214266032102519
0,dial-turn-v2,0,1,0.1375694639485188
0,dial-turn-v2,0,2,0.17184499636955483
0,dial-turn-v2,0,3,0.1293303777446806
0,dial-turn-v2,0,4,0.08847520792205507
0,dial-turn-v2,0,5,0.11375809897226488
0,dial-turn-v2,0,6,0.11412684913057528
0,dial-turn-v2,0,7,0.10421742650792963
0,dial-turn-v2,0,8,0.1233347653844991
0,dial-turn-v2,0,9,0.08962296233122746
0,dial-turn-v2,5000,0,0.5128291218916778
0,dial-turn-v2,5000,1,0.5401752792565001
0,dial-turn-v2,5000,2,0.3953590386630718
0,dial-turn-v2,5000,3,0.46355118668811524
0,dial-turn-v2,5000,4,0.4334527454253107
0,dial-turn-v2,5000,5,0.5150561761323442
0,dial-turn-v2,5000,6,0.39882980193113904
0,dial-turn-v2,5000,7,0.27767671436116886
0,dial-turn-v2,5000,8,0.4375135468450697
0,dial-turn-v2,5000,9,0.29944027271518403
0,dial-turn-v2,10000,0,0.4326924866636108
0,dial-turn-v2,10000,1,0.5608910760295299
0,dial-turn-v2,10000,2,0.43242712605332206
0,dial-turn-v2,10000,3,0.5191791957248221
0,dial-turn-v2,10000,4,0.6486242037826564
0,dial-turn-v2,10000,5,0.4919847260329708
0,dial-turn-v2,10000,6,0.4925107636938409
0,dial-turn-v2,10000,7,0.6067612458528796
0,dial-turn-v2,10000,8,0.5435557135582756
0,dial-turn-v2,10000,9,0.5270723642902776
0,dial-turn-v2,15000,0,0.7077649979960607
0,dial-turn-v2,15000,1,0.6729702686852992
0,dial-turn-v2,15000,2,0.9489657405040476
0,dial-turn-v2,15000,3,0.7850302863682591
0,dial-turn-v2,15000,4,0.6876258382109073
0,dial-turn-v2,15000,5,1.0506536748489175
0,dial-turn-v2,15000,6,0.6976459536402352
0,dial-turn-v2,15000,7,0.8209990152333698
0,dial-turn-v2,15000,8,0.7477095467207132
0,dial-turn-v2,15000,9,0.923433637554568
0,dial-turn-v2,20000,0,0.812628896627593
0,dial-turn-v2,20000,1,0.8602490169091648
0,dial-turn-v2,20000,2,0.8753845166279806
0,dial-turn-v2,20000,3,1.0141340034079889
0,dial-turn-v2,20000,4,0.833813943948401
0,dial-turn-v2,20000,5,0.8939909313931711
0,dial-turn-v2,20000,6,0.8817940957063061
0,dial-turn-v2,20000,7,0.8134425480389714
0,dial-turn-v2,20000,8,0.8467912517110224
0,dial-turn-v2,20000,9,0.8192534349049503
0,dial-turn-v2,25000,0,1.0275867014567714
0,dial-turn-v2,25000,1,1.116560683416625
0,dial-turn-v2,25000,2,1.0559246252314505
0,dial-turn-v2,25000,3,1.195222984257604
0,dial-turn-v2,25000,4,1.1065942544862857
0,dial-turn-v2,25000,5,1.197340205483711
0,dial-turn-v2,25000,6,1.034306593969404
0,dial-turn-v2,25000,7,1.117271254015319
0,dial-turn-v2,25000,8,1.1176844173952052
0,dial-turn-v2,25000,9,1.1487863024354747
0,dial-turn-v2,30000,0,1.2015304067854804
0,dial-turn-v2,30000,1,1.225210363624892
0,dial-turn-v2,30000,2,1.2241692155521835
0,dial-turn-v2,30000,3,1.2344803217113296
0,dial-turn-v2,30000,4,1.2189616365778406
0,dial-turn-v2,30000,5,1.2254722684908124
0,dial-turn-v2,30000,6,1.243047396744716
0,dial-turn-v2,30000,7,1.2158496415214781
0,dial-turn-v2,30000,8,1.2482518149706499
0,dial-turn-v2,30000,9,1.2048330646506893
0,dial-turn-v2,35000,0,1.4307272717007637
0,dial-turn-v2,35000,1,1.6484607098123547
0,dial-turn-v2,35000,2,1.4225903170766434
0,dial-turn-v2,35000,3,1.4701573940832804
